First name,Last name,Date of birth,County of birth,Place of birth
Robert,Allenby,"July 12, 1971",Australia,"Melbourne, Australia"
Abraham,Ancer,"February 27, 1991",Mexico,"McAllen, Texas"
Kiradech,Aphibarnrat,"July 23, 1989",Thailand,"Bangkok, Thailand"
Ryan,Armour,"February 27, 1976",United States,"Akron, Ohio"
Eric,Axley,"April 22, 1974",United States,"Athens, Tennessee"
Michael,Allen,"January 31, 1959",United States,"San Mateo, California"
Robert,Allenby,"July 12, 1971",Australia,"Melbourne, Australia"
Stephen,Ames,"April 28, 1964",Canada,"San Fernando, Trinidad"
Billy,Andrade,"January 25, 1964",United States,"Bristol, Rhode Island"
Tommy,Armour III,"October 08, 1959",United States,"Denver, Colorado"
Woody,Austin,"January 27, 1964",United States,"Tampa, Florida"
